Date,Adj Close,UNIX
2020-01-02,5.973632335662842,1577923200
2020-01-03,5.878018856048584,1578009600
2020-01-06,5.902668476104736,1578268800
2020-01-07,5.974131107330322,1578355200
2020-01-08,5.9853363037109375,1578441600
2020-01-09,6.0510711669921875,1578528000
2020-01-10,6.083439350128174,1578614400
2020-01-13,6.274170398712158,1578873600
2020-01-14,6.157142639160156,1578960000
2020-01-15,6.114563941955566,1579046400
2020-01-16,6.198226451873779,1579132800
2020-01-17,6.206941604614258,1579219200
2020-01-21,6.173576831817627,1579564800
2020-01-22,6.2276082038879395,1579651200
2020-01-23,6.296082019805908,1579737600
2020-01-24,6.236821174621582,1579824000
2020-01-27,5.98085355758667,1580083200
2020-01-28,6.1743245124816895,1580169600
2020-01-29,6.11381721496582,1580256000
2020-01-30,6.120540618896484,1580342400
2020-01-31,5.886981964111328,1580428800
2020-02-03,5.9840898513793945,1580688000
2020-02-04,6.153407573699951,1580774400
2020-02-05,6.24379301071167,1580860800
2020-02-06,6.330690860748291,1580947200
2020-02-07,6.264459133148193,1581033600
2020-02-10,6.547815799713135,1581292800
2020-02-11,6.670321464538574,1581379200
2020-02-12,6.786102771759033,1581465600
2020-02-13,6.742279529571533,1581552000
2020-02-14,7.2156195640563965,1581638400
2020-02-18,7.384437084197998,1581984000
2020-02-19,7.835864543914795,1582070400
2020-02-20,7.686468124389648,1582156800
2020-02-21,7.322188854217529,1582243200
2020-02-24,6.804529666900635,1582502400
2020-02-25,6.524907112121582,1582588800
2020-02-26,6.664344787597656,1582675200
2020-02-27,6.293369770050049,1582761600
2020-02-28,6.728622913360596,1582848000
2020-03-02,6.887078762054443,1583107200
2020-03-03,6.624481201171875,1583193600
2020-03-04,7.088387489318848,1583280000
2020-03-05,6.808847904205322,1583366400
2020-03-06,6.628217697143555,1583452800
2020-03-09,6.114982604980469,1583712000
2020-03-10,6.504643440246582,1583798400
2020-03-11,6.140644073486328,1583884800
2020-03-12,5.389227867126465,1583971200
2020-03-13,6.000375747680664,1584057600
2020-03-16,4.893181324005127,1584316800
2020-03-17,5.413145065307617,1584403200
2020-03-18,5.0531325340271,1584489600
2020-03-19,5.306013584136963,1584576000
2020-03-20,5.126132011413574,1584662400
2020-03-23,5.299036026000977,1584921600
2020-03-24,6.208162784576416,1585008000
2020-03-25,6.119467258453369,1585094400
2020-03-26,6.40897274017334,1585180800
2020-03-27,6.296608924865723,1585267200
2020-03-30,6.617007732391357,1585526400
2020-03-31,6.567428112030029,1585612800
2020-04-01,6.055935859680176,1585699200
2020-04-02,6.364873886108398,1585785600
2020-04-03,6.076864719390869,1585872000
2020-04-06,6.687017440795898,1586131200
2020-04-07,6.453568458557129,1586217600
2020-04-08,6.650890350341797,1586304000
2020-04-09,6.551233768463135,1586390400
2020-04-13,6.723142147064209,1586736000
2020-04-14,7.074434757232666,1586822400
2020-04-15,6.996950626373291,1586908800
2020-04-16,7.342264652252197,1586995200
2020-04-17,7.282968521118164,1587081600
2020-04-20,7.151669025421143,1587340800
2020-04-21,6.714672565460205,1587427200
2020-04-22,7.129246234893799,1587513600
2020-04-23,7.075930595397949,1587600000
